gene_symbol	logFC	adj.P.Val	t	regulation
TAZ	-2.14267572324632	3.7687738748579e-178	-38.0191686437173	Down
RP11-347I19.7	-2.95030246415776	4.72233474706577e-178	-38.0020821802218	Down
AP000892.6	-3.0398766961086	5.27586755108955e-178	-37.9935767509779	Down
ADCY3	-2.45035976702512	5.49668864599656e-178	-37.9902947541487	Down
RUNX1T1	-3.15034479006661	6.5793399297272e-178	-37.9766358839434	Down
APBB3	-2.42201541218642	6.6518429449541e-178	-37.9756018824788	Down
RP11-154H23.3	-3.63351166154641	1.27624471658047e-177	-37.9266759523842	Down
RP11-131M11.3	-2.48011372247827	2.19249117889853e-177	-37.8860251559603	Down
KIAA1875	-3.24769902073738	2.53368472355655e-177	-37.8750061204441	Down
RP11-499P20.2	-2.91538544546855	2.81559722052787e-177	-37.8669123680971	Down
UCKL1-AS1	-3.42132660650287	2.91729405088464e-177	-37.8640503060539	Down
