sample	condition	source
TCGA-FE-A235-01	THCA	TCGA
TCGA-EM-A4FM-01	THCA	TCGA
TCGA-FY-A3I4-01	THCA	TCGA
TCGA-ET-A3DU-01	THCA	TCGA
TCGA-ET-A25G-01	THCA	TCGA
TCGA-EL-A3D6-01	THCA	TCGA
TCGA-E8-A2JQ-01	THCA	TCGA
TCGA-DJ-A3VD-01	THCA	TCGA
TCGA-EL-A3D1-01	THCA	TCGA
TCGA-BJ-A0ZH-01	THCA	TCGA
TCGA-ET-A3BV-01	THCA	TCGA
TCGA-IM-A3U2-01	THCA	TCGA
TCGA-DJ-A4UW-01	THCA	TCGA
TCGA-EL-A3ZP-01	THCA	TCGA
TCGA-EL-A3CT-01	THCA	TCGA
TCGA-EL-A3MY-01	THCA	TCGA
TCGA-DJ-A2PT-01	THCA	TCGA
TCGA-DE-A4MB-01	THCA	TCGA
TCGA-EM-A2CO-01	THCA	TCGA
TCGA-BJ-A28Z-01	THCA	TCGA
TCGA-EM-A2P1-01	THCA	TCGA
TCGA-FE-A3PA-01	THCA	TCGA
TCGA-IM-A420-01	THCA	TCGA
TCGA-BJ-A0Z9-01	THCA	TCGA
TCGA-EM-A2CM-01	THCA	TCGA
TCGA-E8-A242-01	THCA	TCGA
TCGA-EL-A3TA-01	THCA	TCGA
TCGA-DJ-A3UT-01	THCA	TCGA
TCGA-EL-A3T0-01	THCA	TCGA
TCGA-E8-A2EA-01	THCA	TCGA
TCGA-KS-A41I-01	THCA	TCGA
TCGA-FE-A22Z-01	THCA	TCGA
TCGA-ET-A3DO-01	THCA	TCGA
TCGA-H2-A26U-01	THCA	TCGA
TCGA-EM-A1YD-01	THCA	TCGA
TCGA-DO-A2HM-01	THCA	TCGA
TCGA-DJ-A13O-01	THCA	TCGA
TCGA-FE-A3PC-01	THCA	TCGA
TCGA-KS-A4I5-01	THCA	TCGA
TCGA-J8-A3YF-01	THCA	TCGA
TCGA-EM-A4FO-01	THCA	TCGA
TCGA-KS-A41J-01	THCA	TCGA
TCGA-CE-A484-01	THCA	TCGA
TCGA-J8-A3YG-01	THCA	TCGA
TCGA-EM-A1YB-01	THCA	TCGA
TCGA-EL-A3H7-01	THCA	TCGA
TCGA-EL-A4K1-01	THCA	TCGA
TCGA-DE-A7U5-01	THCA	TCGA
TCGA-BJ-A45I-01	THCA	TCGA
TCGA-E8-A438-01	THCA	TCGA
TCGA-IM-A4EB-01	THCA	TCGA
TCGA-DJ-A3UY-01	THCA	TCGA
TCGA-EM-A4FN-01	THCA	TCGA
TCGA-EL-A3CV-01	THCA	TCGA
TCGA-ET-A25I-01	THCA	TCGA
TCGA-DJ-A3V6-01	THCA	TCGA
TCGA-EL-A3ZN-01	THCA	TCGA
TCGA-EL-A4K4-01	THCA	TCGA
TCGA-DJ-A1QO-01	THCA	TCGA
TCGA-ET-A25R-01	THCA	TCGA
TCGA-DJ-A3VF-01	THCA	TCGA
TCGA-EL-A3H3-01	THCA	TCGA
TCGA-EL-A3CN-01	THCA	TCGA
TCGA-L6-A4EU-01	THCA	TCGA
TCGA-DJ-A13L-01	THCA	TCGA
TCGA-ET-A2MX-01	THCA	TCGA
TCGA-BJ-A4O8-01	THCA	TCGA
TCGA-ET-A40R-01	THCA	TCGA
TCGA-EM-A22I-01	THCA	TCGA
TCGA-DJ-A1QH-01	THCA	TCGA
TCGA-EL-A3T1-01	THCA	TCGA
TCGA-DJ-A4UT-01	THCA	TCGA
TCGA-E8-A44K-01	THCA	TCGA
TCGA-DJ-A3V3-01	THCA	TCGA
TCGA-E3-A3E2-01	THCA	TCGA
TCGA-DJ-A2QA-01	THCA	TCGA
TCGA-EL-A4JZ-01	THCA	TCGA
TCGA-ET-A40T-01	THCA	TCGA
TCGA-CE-A13K-01	THCA	TCGA
TCGA-ET-A39N-01	THCA	TCGA
TCGA-EL-A3GO-01	THCA	TCGA
TCGA-FE-A234-01	THCA	TCGA
TCGA-DJ-A3UQ-01	THCA	TCGA
TCGA-EL-A3ZK-01	THCA	TCGA
TCGA-DJ-A3UV-01	THCA	TCGA
TCGA-BJ-A0YZ-01	THCA	TCGA
TCGA-EL-A3N3-01	THCA	TCGA
TCGA-E8-A419-01	THCA	TCGA
TCGA-KS-A4ID-01	THCA	TCGA
TCGA-ET-A40S-01	THCA	TCGA
TCGA-E8-A416-01	THCA	TCGA
TCGA-EM-A3FO-01	THCA	TCGA
TCGA-DJ-A2QC-01	THCA	TCGA
TCGA-E8-A436-01	THCA	TCGA
TCGA-DJ-A2Q3-01	THCA	TCGA
TCGA-CE-A482-01	THCA	TCGA
TCGA-BJ-A45J-01	THCA	TCGA
TCGA-EM-A22M-01	THCA	TCGA
TCGA-ET-A3DP-01	THCA	TCGA
TCGA-ET-A39R-01	THCA	TCGA
TCGA-BJ-A3PT-01	THCA	TCGA
TCGA-BJ-A0ZJ-01	THCA	TCGA
TCGA-EL-A3CW-01	THCA	TCGA
TCGA-DJ-A3V0-01	THCA	TCGA
TCGA-FK-A3S3-01	THCA	TCGA
TCGA-L6-A4EP-01	THCA	TCGA
TCGA-EM-A3FR-01	THCA	TCGA
TCGA-DJ-A1QM-01	THCA	TCGA
TCGA-CE-A485-01	THCA	TCGA
TCGA-EM-A2CP-01	THCA	TCGA
TCGA-DE-A4MC-01	THCA	TCGA
TCGA-DE-A0Y2-01	THCA	TCGA
TCGA-EL-A3MZ-01	THCA	TCGA
TCGA-ET-A25K-01	THCA	TCGA
TCGA-E8-A433-01	THCA	TCGA
TCGA-DJ-A4V5-01	THCA	TCGA
TCGA-EL-A3ZS-01	THCA	TCGA
TCGA-FE-A239-01	THCA	TCGA
TCGA-EL-A4JX-01	THCA	TCGA
TCGA-EM-A1CW-01	THCA	TCGA
TCGA-ET-A25L-01	THCA	TCGA
TCGA-ET-A39M-01	THCA	TCGA
TCGA-EL-A3GU-01	THCA	TCGA
TCGA-EL-A4K2-01	THCA	TCGA
TCGA-DJ-A2Q5-01	THCA	TCGA
TCGA-ET-A25N-01	THCA	TCGA
TCGA-EM-A4G1-01	THCA	TCGA
TCGA-BJ-A3PU-01	THCA	TCGA
TCGA-EM-A3SU-01	THCA	TCGA
TCGA-BJ-A3EZ-01	THCA	TCGA
TCGA-EM-A3SZ-01	THCA	TCGA
TCGA-BJ-A28X-01	THCA	TCGA
TCGA-EM-A4FR-01	THCA	TCGA
TCGA-ET-A39S-01	THCA	TCGA
TCGA-BJ-A18Z-01	THCA	TCGA
TCGA-DJ-A13M-01	THCA	TCGA
TCGA-FE-A237-01	THCA	TCGA
TCGA-EL-A3T6-01	THCA	TCGA
TCGA-DE-A3KN-01	THCA	TCGA
TCGA-EM-A2CU-01	THCA	TCGA
TCGA-E8-A414-01	THCA	TCGA
TCGA-DE-A4M9-01	THCA	TCGA
TCGA-MK-A4N6-01	THCA	TCGA
TCGA-EL-A4KG-01	THCA	TCGA
TCGA-H2-A421-01	THCA	TCGA
TCGA-BJ-A28T-01	THCA	TCGA
TCGA-EL-A4KI-01	THCA	TCGA
TCGA-EM-A1YA-01	THCA	TCGA
TCGA-ET-A39O-01	THCA	TCGA
TCGA-E3-A3E0-01	THCA	TCGA
TCGA-ET-A3DQ-01	THCA	TCGA
TCGA-DE-A4MA-01	THCA	TCGA
TCGA-ET-A3BX-01	THCA	TCGA
TCGA-FY-A4B4-01	THCA	TCGA
TCGA-EL-A3H1-01	THCA	TCGA
