variant	method	collection	pathway	NES	padj	leading_edge_n	composition_overlap_n	composition_overlap
tcga_matched	voom_qw	KEGG	KEGG_RENIN_ANGIOTENSIN_SYSTEM	1.0505168541691	0.514547869960559	6	0	
tcga_matched	voom_qw	KEGG	KEGG_RETINOL_METABOLISM	-1.74846950390649	0.0172231833910035	12	0	
tcga_matched	voom_qw	KEGG	KEGG_RIBOFLAVIN_METABOLISM	1.64872408870601	0.0566813686835721	8	0	
tcga_matched	voom_qw	KEGG	KEGG_RIBOSOME	2.67724837754108	1.25592673144506e-09	68	0	
tcga_matched	voom_qw	KEGG	KEGG_RIG_I_LIKE_RECEPTOR_SIGNALING_PATHWAY	1.28122743388639	0.174038461538462	13	0	
tcga_matched	voom_qw	KEGG	KEGG_RNA_DEGRADATION	1.08632579749295	0.428402366863905	17	0	
tcga_matched	voom_qw	KEGG	KEGG_RNA_POLYMERASE	0.721982170445468	0.92721014069758	14	0	
tcga_matched	voom_qw	KEGG	KEGG_SELENOAMINO_ACID_METABOLISM	-1.35312884829854	0.198530487850876	7	0	
tcga_matched	voom_qw	KEGG	KEGG_SMALL_CELL_LUNG_CANCER	1.61453144469562	0.0105720110292696	21	0	
tcga_matched	voom_qw	KEGG	KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT	0.957474602149885	0.635847682298971	8	0	
tcga_matched	voom_qw	KEGG	KEGG_SPHINGOLIPID_METABOLISM	1.11618180015372	0.398596455656278	12	0	
tcga_matched	voom_qw	KEGG	KEGG_SPLICEOSOME	0.846101903763415	0.921001926782274	34	0	
